OC,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,DEM,SLOPE,ASPECT,evi,ssm,minimum_2m_air_temperature_median,mean_2m_air_temperature_median,maximum_2m_air_temperature_median,v_component_of_wind_10m_median,total_precipitation_median,LU1_Desc,DOMSOI,GPS_LONG,GPS_LAT
24.6,823,915,1224,1639,1871,2846,3183,3591,3525,3263,3117,2058,65,4.6437235,90,0.193126443,25.4,289.57523,290.367,291.44733,-4.0587335,0.0000124,Agriculture (excluding fallow land and kitchen gardens),Lf,-8.775251839,37.13910423
38.9,771,789,1077,1099,1951,2774,3198,3042,3462,3068,3050,2105,12,7.855946,125.91664,0.505436971,25.4,287.43958,290.9411,295.0696,-2.3187602,0.00000798,Agriculture (excluding fallow land and kitchen gardens),Lf,-8.578214406,37.17866631
18.4,489,498.5,813,1117.5,1641.5,2381,2751,2754.5,3033,3256,2726.5,1793,190,5.672067,167.93388,0.265078755,7.773549,287.19937,290.32108,293.82254,-2.8331928,0.0000134,Fallow land,Bk,-9.24209186,38.76853116
8.2,816,1031,1503,1735.5,2111.5,2583.5,2741.5,2781.5,2968.5,2871,3163.5,2420.5,161,4.752185,141.1595,0.219896395,7.914755,287.4217,290.1627,293.2519,-2.7044418,0.0000139,Agriculture (excluding fallow land and kitchen gardens),Bk,-9.145973845,39.08451978
14.4,672,877,956,1024,1222,1707,1911,2255,2077,2076,1734,1105,127,3.0261014,203.27254,0.422463522,8.799979,287.4217,290.1627,293.2519,-2.7044418,0.0000139,Forestry,Bk,-9.154804085,39.19392373
3.4,633,759,1131,1391,1484.5,2492.5,2803.5,2864.5,3167.5,3299,2777,1898,50,4.974789,286.1978,0.319282137,8.799979,287.4217,290.1627,293.2519,-2.7044418,0.0000139,Agriculture (excluding fallow land and kitchen gardens),Bk,-9.16526974,39.22887796
11.7,569,845,1283,1605,2039,2775,2992,3207,3377,3036,3847,2505,97,2.8440514,192.16504,0.184795014,6.637093,285.2934,290.14648,295.58417,-1.9131308,0.00000812,Agriculture (excluding fallow land and kitchen gardens),Bk,-8.679456518,39.36230016
21.8,154,227,313,502,612,796,857,888,1008,1084,1489,1215,353,14.950157,278.7174,0.163611047,12.300657,284.90402,289.9425,295.50647,-1.2674685,0.00000945,Forestry,Bk,-8.346205058,39.94458503
18.7,560,605,889,1297,1635,1944,2167,2283,2488,2810,3405,2232,188,7.346781,71.7068,0.199873096,7.2022085,287.28784,290.93457,295.2599,-2.3407233,0.0000106,Forestry,Lo,-8.66529655,37.49479743
9.2,323,522.5,766,1026,1314,2199,2467,2574.5,2805,3253,2912,1868.5,12,0,0,0.388365031,7.201389,287.44556,289.5541,292.08408,-2.5678134,0.0000149,Agriculture (excluding fallow land and kitchen gardens),Po,-8.988560552,39.59761767
3.5,1148,1504,1748,1770,1934,2907,3337,3602,3737,4094,2651,1902,170,6.9495463,37.171257,0.769833497,8.352968,287.44556,289.5541,292.08408,-2.5678134,0.0000149,Forestry,Po,-8.901391332,39.7074376
56.7,948,958,1004,1017,1315,2291,2692,2768,2931,2703,1670,1062,241,4.8039584,241.21407,0.272874972,9.5339985,285.30292,289.83032,294.87115,-1.7344363,0.00000991,Forestry,Po,-8.663997248,39.71691972
24.3,609,1031,1127,1155,1332,2009,2221,2276,2463,1999,1868,1280,86,4.8553743,311.8345,1.030876494,8.327303,285.94846,289.69818,293.94043,-1.8368049,0.0000139,Forestry,Po,-8.642388851,39.88763555
12.8,792,892,1250.5,1691,1957.5,2450,2681.5,2745,3029.5,3030,3664.5,2801,21,2.4716794,100.80734,0.232164822,8.164811,286.331,289.81406,293.69577,-1.959685,0.0000139,Kitchen gardens,Po,-8.548144841,40.22027772
10.4,411,567,868,1017,1580,2073,2253,2622,2681,2390,3110,2156,80,0.92740995,180,0.351749188,10.564527,286.62976,289.81436,293.4234,-1.9159294,0.0000247,Agriculture (excluding fallow land and kitchen gardens),Po,-8.561770601,40.34711342
17,482,853.5,1077.5,1335.5,1536.5,2123,2405,2913,2791.5,3133,2826.5,2145.5,70,3.0346627,156.35376,0.278843421,10.240825,286.62976,289.81436,293.4234,-1.9159294,0.0000247,Agriculture (excluding fallow land and kitchen gardens),Po,-8.559769342,40.42146744
22.2,284,336,477,793,864,1064,1228,1565,1522,1597,1843,1330,55,3.6876326,277.21445,0.212388576,24.698042,286.69226,289.96332,293.3064,-1.782025,0.0000249,Forestry,Po,-8.607088998,40.57882319
16.8,555,614,851,1090,1477,1741,2019,1975,2368,2648,3136,2174,60,7.334786,235.53397,0.294854726,9.771131,285.30603,290.0489,295.30878,-0.9121654,0.0000171,Agriculture (excluding fallow land and kitchen gardens),Po,-8.426326777,40.29906157
16.8,638.5,799.5,1007.5,1479.5,1778,1996.5,2269.5,2494,2712,2754,4208,3023.5,73,1.9846182,62.150364,0.146434284,5.365238,286.9178,291.055,295.50858,-2.3713634,0.00000978,Agriculture (excluding fallow land and kitchen gardens),Po,-8.711708338,37.57816004
19.4,751,914,1346,2171,2401,2597,2841,2924,2971,3132,4048,3189,157,3.750828,171.00131,0.112545668,4.9434395,287.0348,290.93185,295.32452,-2.316602,0.00000929,Agriculture (excluding fallow land and kitchen gardens),Po,-8.702020387,37.87653787
